way_id,highway,name,oneway,maxspeed_kmh,node_refs
73418020,service,,no,15,875358893 1980844223 9613243987 4133704128 3858943924 3858943915 870409977 870409966 870409988 870409983 870409960 870409934 870409972 870409958 870409986 870409941
73418023,service,,no,15,870409964 875358892 870409951 870409989 875358848 870409985
73418024,service,,no,15,870409958 870409955 870409979 870409952 870409940 870409976 870409947 870409965 870409938 870409996
73418027,service,,no,15,870409960 870409945 870409982 870409975 870409949 870409943 12918840427 870409936 875641724 875641735
73418028,service,,no,15,870409986 870409969 870409952 870409974 870409964 870409985 870409928
73418032,service,,no,15,870409949 870409988 3867537102 3858943915
73981424,service,,no,15,875358848 875358881 875358892
73981425,footway,,no,5,875358890 875358838
73981427,service,,no,15,870409965 875358844 875358896
73981428,footway,,no,5,875358846 870409986
74000651,service,Момышұлы көшесі,no,15,4288325421 3764202030 13302935524 11002072108 3764202026 875626787 5938426278 5938426277 11066132374 5938426276 5938426275 3764202023 5938426279 875626794 875626790 3764202021 875626796
74001705,service,,no,15,875633194 4133704114 875633192 875633222
74001706,service,,no,15,875633216 875633194 875633195 875633220 875633190 875633208 875633213 875633222 875633197 875633200 3867537101 875633218 12918840426 1980870785 12918840421 875633216
74002224,service,,no,15,875641751 875641759 875641735
74002225,service,,no,15,875641724 875641734 875641756 875641751 875641732 875641737 875641729 875641736
74002226,footway,,no,5,875641732 875641735
74002227,footway,,no,5,875641737 10613915291 10613915288 875641720
75838317,tertiary,,no,40,2465771256 895287094 10956790601 895287284 10956790600 895287390 9603017796 9603017795 9603017797 895287580 895286995 895287201 10956790599 895287639 10956790598 10956796226 895286971 10956790597 10956851850 10794709795 895287261 10956851867 895287450 10956796186 895287557 10956851864 10956790596 895287743 10956790595 10956790594 895287178 10794709748 895287367 10956790588 895286947 895287152 895287426 10956790587 895287615 895287720 10794436882 895287069 10956790586 10956790585 3069693739 895287644 895287562 895287749 895287183 895286953 10956762279 895287432 895287621 10956762244 895287726 10794436699 895287076 895287349 11196283688 895287538 895287326 895286928 10956762130 895287040 3069693738 895287242 895287515 895287703 10794436610 3069693737 3069693736 895287490 895286901 895287111 10855653403 895287218 895287408 895287012 895286966 895287172 895287634 10855666719 895287739 895287089 895287551 895287148 3069693735 895287338 895287610 895286941 3069693734 895287065 895287255 895287527 895287715
